team_name,fifa_ranking,ranking_date
France,1,2026-04-01
Spain,2,2026-04-01
Argentina,3,2026-04-01
England,4,2026-04-01
Portugal,5,2026-04-01
Brazil,6,2026-04-01
Netherlands,7,2026-04-01
Morocco,8,2026-04-01
Germany,9,2026-04-01
Belgium,10,2026-04-01
Croatia,11,2026-04-01
Colombia,13,2026-04-01
Senegal,14,2026-04-01
Mexico,15,2026-04-01
United States,16,2026-04-01
Uruguay,17,2026-04-01
Japan,18,2026-04-01
Switzerland,19,2026-04-01
Iran,21,2026-04-01
Turkey,22,2026-04-01
Ecuador,23,2026-04-01
Austria,24,2026-04-01
South Korea,25,2026-04-01
Australia,27,2026-04-01
Algeria,28,2026-04-01
Egypt,29,2026-04-01
Canada,30,2026-04-01
Norway,31,2026-04-01
Panama,33,2026-04-01
Ivory Coast,34,2026-04-01
Scotland,36,2026-04-01
Sweden,38,2026-04-01
Paraguay,40,2026-04-01
Czechia,41,2026-04-01
Tunisia,44,2026-04-01
DR Congo,46,2026-04-01
Uzbekistan,50,2026-04-01
Qatar,55,2026-04-01
Iraq,57,2026-04-01
South Africa,60,2026-04-01
Saudi Arabia,61,2026-04-01
Jordan,63,2026-04-01
Bosnia and Herzegovina,65,2026-04-01
Cape Verde,69,2026-04-01
Ghana,74,2026-04-01
Curacao,82,2026-04-01
Haiti,83,2026-04-01
New Zealand,85,2026-04-01
